Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
['GEM/2025/B/6833276'],"precast culvert size 2x2 mtr for 7.45 mtr long for BP-156,precast culvert size 2x2 mtr for 7.45 mtr",[18069],Ministry of Defence Department of Defence,2025-10-29T10:36:44Z,2025-10-29T10:36:44Z,No
['GEM/2025/B/6829066'],"Wheel Cutter 4 Inch,Wheel Cutter 14 Inch,Wheel Grinder 4 Inch,Welding Rod,MS Sheet 18 Gage,MS Sheet",[146],Ministry of Defence Department of Military Affairs,2025-10-27T17:59:22Z,2025-10-27T17:59:22Z,No
['GEM/2025/B/6828976'],"Brake Pad Front,Brake Shoe rear,Fuel filter,Brake Actuator Front,Clutch Cyl Assy,Bush Set,Water Pum",[17],Ministry of Defence Department of Military Affairs,2025-10-27T17:42:35Z,2025-10-27T17:42:35Z,No
['GEM/2025/B/6832580'],Stretcher Trolleys,[1],Ministry of Power NORTH EASTERN ELECTRIC POWER Corporation Limited,2025-10-28T17:41:21Z,2025-10-28T17:41:21Z,No
['GEM/2025/B/6830676'],"Mercurial Sphygmomanometer,Pulse Oximeter (V2)",[8],Ministry of Home Affairs Central Armed Police Forces,2025-10-28T12:38:19Z,2025-10-28T12:38:19Z,No
['GEM/2025/B/6830597'],Digital Medical Thermometer (V2),[8],Ministry of Home Affairs Central Armed Police Forces,2025-10-28T12:06:31Z,2025-10-28T12:06:31Z,No
['GEM/2025/B/6830516'],Digital BMI Machine (V2),[1],Ministry of Home Affairs Central Armed Police Forces,2025-10-28T12:11:29Z,2025-10-28T12:11:29Z,No
['GEM/2025/B/6829990'],Steel trunk Box,[45],Ministry of Defence Department of Military Affairs,2025-10-28T10:38:59Z,2025-10-28T10:38:59Z,No
['GEM/2025/B/6829947'],Weight Machine,[2],Ministry of Defence Department of Military Affairs,2025-10-28T10:28:06Z,2025-10-28T10:28:06Z,No
['GEM/2025/B/6846629'],"Clutch Cover Assy,Clutch Disc Assy,Tie Rod,Speedometer Cable,Van Pump",[15],Ministry of Defence Department of Military Affairs,2025-11-01T11:59:43Z,2025-11-01T11:59:43Z,No
['GEM/2025/B/6846561'],"Repair of Rotary pump incl replace of Governor Shaft, Roller pin, Cross Disc and Nozzle.",[1],Ministry of Defence Department of Military Affairs,2025-11-01T11:51:35Z,2025-11-01T11:51:35Z,No
['GEM/2025/B/6846450'],"Clutch Cover Assy,352 Dia Clutch Disc,U Bolt,Hub Seal,Mag Valve",[21],Ministry of Defence Department of Military Affairs,2025-11-01T11:46:26Z,2025-11-01T11:46:26Z,No
['GEM/2025/B/6846135'],"Propeller Shaft,Fuel Filter Body,Oil Seal 24x35x7,Plate Reed Valve,Cyl Head Air Compressor,Slave Cy",[23],Ministry of Defence Department of Military Affairs,2025-11-01T10:26:07Z,2025-11-01T10:26:07Z,No
['GEM/2025/B/6846214'],"Timing Belt,Vacuum Hose for EGR,Cam Oil Seal,Condenser Assy,Elect Fan Assy,Rear Suspension Bush,Rep",[7],Ministry of Defence Department of Military Affairs,2025-11-01T10:43:58Z,2025-11-01T10:43:58Z,No
['GEM/2025/B/6850268'],Battery Secondary Lead Acid MT Type (Defence),[4],Ministry of Power NORTH EASTERN ELECTRIC POWER Corporation Limited,2025-11-03T13:04:14Z,2025-11-03T13:04:14Z,No
['GEM/2025/B/6848842'],"Modernization Of Smart Classroom,Wireless Access Point (V2),Layer 2 Access Switch (V2)",[21],Ministry of Education Department of Higher Education,2025-11-03T14:33:23Z,2025-11-03T14:33:23Z,No
