Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
['GEM/2025/B/6812811'],Manpower Outsourcing Services - Minimum wage - Skilled; Secondary School; Others,[4],Ministry of Defence Department of Military Affairs,2025-10-22T14:59:15Z,2025-10-22T14:59:15Z,No
['GEM/2025/B/6823398'],Custom Bid for Services - Deployment of Back hoe loader JCB for Civil miscellaneous works at TMPL,[1],PMO Department of Atomic Energy,2025-10-25T11:54:29Z,2025-10-25T11:54:29Z,No
['GEM/2025/B/6825015'],Custom Bid for Services - Providing the Services of Multi Tasking Staff (MTS) and Watchman,[1],Ministry of Housing & Urban Affairs (MoHUA) Central Public Works Department,2025-10-25T19:12:46Z,2025-10-25T19:12:46Z,No
['GEM/2025/B/6779571'],Procurement of Night Vision Goggles,[1],Ministry of Defence Department of Defence,2025-10-25T10:22:20Z,2025-10-25T10:22:20Z,No
['GEM/2025/B/6792391'],Storage Rack for Chemicals,[10],Department of Space Department of Space,2025-10-24T16:06:29Z,2025-10-24T16:06:29Z,No
['GEM/2025/B/6792254'],Steel Clothes Lockers (V3) confirming to IS 3314,[3],Department of Space Department of Space,2025-10-24T16:04:04Z,2025-10-24T16:04:04Z,No
['GEM/2025/B/6776574'],Automated blood component extractor,[1],Ministry of Health and Family Welfare Department of Health and Family Welfare,2025-10-24T12:05:24Z,2025-10-24T12:05:24Z,No
['GEM/2025/B/6731900'],"PAINT FINISHING HEAT RESISTING (537.8 TO 648.9D C) ALLUMINIUM - N8010-000443,EPOXY RED OXIDE PRIMER",[272400],Ministry of Defence Department of Military Affairs,2025-10-24T09:21:12Z,2025-10-24T09:21:12Z,No
['GEM/2025/B/6668463'],Event or Seminar or Workshop or Exhibition or Expo Management Service - National; Local Sightseeing,[1],Ministry of Defence Department of Military Affairs,2025-10-24T10:37:43Z,2025-10-24T10:37:43Z,No
['GEM/2025/B/6816789'],Next Gen Sequencing System,[1],Health Medical and Family Welfare Department Andhra Pradesh,2025-10-25T11:03:33Z,2025-10-25T11:03:33Z,No
['GEM/2025/B/6816080'],HANDHELD PARTICLE COUNTER,[3],Ministry of Defence Department of Defence Production,2025-10-24T13:52:35Z,2025-10-24T13:52:35Z,No
['GEM/2025/B/6815915'],"Custom Bid for Services - Provision of rendering Data Entry Operation services at DYD, SCMN, VSKP, ",[1],Ministry of Railways Indian Railways,2025-10-23T19:28:30Z,2025-10-23T19:28:30Z,No
['GEM/2025/B/6804711'],Custom Bid for Services - CONTRACT FOR SERVICE - PERIPHERAL SUPPORT SERVICES (SKILLED) AT HYDERABAD,[1],Ministry of Petroleum and Natural Gas GAIL India Limited,2025-10-24T16:11:03Z,2025-10-24T16:11:03Z,No
['GEM/2025/B/6804417'],Goods Transport Service – Per Trip based  Service - Postal Mails and Parcels; Closed Body LCV Tru,[730],Ministry of Communications Department of Posts,2025-10-24T16:48:12Z,2025-10-24T16:48:12Z,No
['GEM/2025/B/6799444'],5 kVA UPS,[4],Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-25T13:07:19Z,2025-10-25T13:07:19Z,No
['GEM/2025/B/6798875'],All in One PC (V2),[2],Ministry of Defence Department of Military Affairs,2025-10-24T13:48:39Z,2025-10-24T13:48:39Z,No
['GEM/2025/B/6812799'],Scanning and Digitisation Service (Version 2) - 300; As per Scope of Work,[1120000],Ministry of Defence Department of Military Affairs,2025-10-24T17:42:30Z,2025-10-24T17:42:30Z,No
