Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
GEM/2025/B/6701227,CARBON MONOXIDE GAS 99.97 PERCENT PURE IN 47L CAPACITY RETURNABLE CYLINDERS,12,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-17 17:03:45Z,2025-10-17 17:03:45Z,No
GEM/2025/B/6849090,HP PUMP SEAL KIT,29,Ministry of Defence Department of Defence,2025-11-05 15:47:03Z,2025-11-05 15:47:03Z,No
GEM/2025/B/6682800,Repair of drilling Machine,1,Ministry of Defence Department of Defence,2025-11-05 15:46:17Z,2025-11-05 15:46:17Z,No
GEM/2025/B/6804059,Manpower Outsourcing Services - Minimum wage - Skilled; Graduate; Admin,9,Ministry of Defence Department of Military Affairs,2025-11-05 16:12:13Z,2025-11-05 16:12:13Z,No
GEM/2025/B/6857777,LED Luminaire for Floodlight (V2) Conforming to IS 10322 (Part 5/Section 5),150,Ministry of Railways Indian Railways,2025-11-06 11:05:08Z,2025-11-06 11:05:08Z,No
GEM/2025/B/6839596,Garbage Bags,8000,Ministry of Railways Indian Railways,2025-11-06 11:07:47Z,2025-11-06 11:07:47Z,No
GEM/2025/B/6839259,"Toilet Soap, Liquid (V3) Conforming to IS 4199",4800,Ministry of Railways Indian Railways,2025-11-06 11:11:51Z,2025-11-06 11:11:51Z,No
GEM/2025/B/6796561,computer kiosk,20,Ministry of Railways Indian Railways,2025-11-06 11:02:00Z,2025-11-06 11:02:00Z,No
GEM/2025/B/6859691,High Power RF Attenuator,2,Ministry of Electronics and Information Technology Department of Electronics and Information Technology,2025-11-06 11:22:56Z,2025-11-06 11:22:56Z,No
GEM/2025/B/6854443,FIREWALL NGFW_ Schedule 1_ Item_ 10_ M9630990352_ 700075127,2,Ministry of Power NA,2025-11-06 11:17:49Z,2025-11-06 11:17:49Z,No
GEM/2025/B/6859629,"Supply & Safe Delivery of Mechanical, Pneumatic and High Voltage Front End Assembly for Pulse Power",1,PMO Department of Atomic Energy,2025-11-06 10:37:40Z,2025-11-06 10:37:40Z,No
GEM/2025/B/6848887,Custom Bid for Services - REPAIR AND SERVICEABILITY CHECKS OF HEAVY-DUTY INDUSTRIAL WASHING MACHINE,1,Ministry of Defence Department of Military Affairs,2025-11-03 20:28:34Z,2025-11-03 20:28:34Z,No
GEM/2025/B/6848861,"Mettalic Putty,Pantry Goose Neck,Araidite Composite,Split Pin,Nails,Cutting grinding buffing wheels",771,Ministry of Defence Department of Military Affairs,2025-11-03 20:26:39Z,2025-11-03 20:26:39Z,No
GEM/2025/B/6826893,"CISCO IP PHONE 8865 WITH POWER CORD,TEJAS L3 48 PORT NETWORK SWITCH,CISCO IP PHONE 7841 WITH POWER ",26,Ministry of Defence Department of Military Affairs,2025-11-03 17:09:23Z,2025-11-03 17:09:23Z,No
GEM/2025/B/6852066,VGO locking compound,3600,Ministry of Defence Department of Military Affairs,2025-11-03 17:29:03Z,2025-11-03 17:29:03Z,No
GEM/2025/B/6851992,Custom Bid for Services - 800063042 Comprehensive AMC for CCTV system and details equipment and dep,1,Ministry of Power NA,2025-11-03 17:24:47Z,2025-11-03 17:24:47Z,No
GEM/2025/B/6807601,"START, MOT, SOFT STARTER RC, 250 KW, 480A",3,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-11-03 17:28:59Z,2025-11-03 17:28:59Z,No
GEM/2025/B/6851826,Coke - Blast Furnace (RINL) (In Metric tonne),45000,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-11-03 17:54:48Z,2025-11-03 17:54:48Z,No
GEM/2025/B/6831868,"Split Air Conditioner Including Green AC, Wall Mount Type (V2)",30,Ministry of Finance Department of Financial Services,2025-11-03 13:58:14Z,2025-11-03 13:58:14Z,No
GEM/2025/B/6738846,"460207500001,460207500002,460216500046,460216500047,460216500048,460216500049,460216500050,46021650",104,Ministry of Petroleum and Natural Gas NA,2025-09-29 14:19:16Z,2025-09-29 14:19:16Z,No
GEM/2025/B/6715978,Procurement of SPM Spares-Chafe Chain,4,Ministry of Petroleum and Natural Gas NA,2025-09-24 18:13:40Z,2025-09-24 18:13:40Z,No
GEM/2025/B/6715173,"Custom Bid for Services - Hiring of Services for Venue Preparation, Provision of Refreshment and Pr",1,Ministry of Defence Department of Military Affairs,2025-11-03 12:47:50Z,2025-11-03 12:47:50Z,No
GEM/2025/B/6782752,"INTEL XEON SERVER 2 CPU, RACK OPTIMIZED",2,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-10-14 16:43:19Z,2025-10-14 16:43:19Z,No
GEM/2025/B/6791527,"Manpower Outsourcing Services - Minimum wage - Skilled; Graduate; Admin,Manpower Outsourcing Servic",3,Ministry of Defence Department of Military Affairs,2025-11-03 13:44:12Z,2025-11-03 13:44:12Z,No
GEM/2025/B/6280251,Toner Cartridges / Ink Cartridges / Consumables for Printers,10,Ministry of Steel Rashtriya Ispat Nigam Limited,2025-05-27 17:06:59Z,2025-05-27 17:06:59Z,No
GEM/2025/B/6851190,33 KV 1Cx630 Sq.mm Cable GIS Nexans Euromold make termination kit 1st run 1set for 3 cable RYB phas,8,Ministry of Heavy Industries and Public Enterprises Department of Heavy Industry,2025-11-03 15:34:39Z,2025-11-03 15:34:39Z,No
GEM/2025/B/6841144,Custom Bid for Services - ECDIS Display rebooting frequently and unable to upload latest ENC editio,1,Ministry of Defence Department of Defence,2025-11-03 15:41:58Z,2025-11-03 15:41:58Z,No
GEM/2025/B/6842396,Axial Magnetic Field Probe and Data Acquisition and Storage,1,PMO Department of Atomic Energy,2025-10-31 09:59:38Z,2025-10-31 09:59:38Z,No
