Bid No,Items,Quantity,Department Name And Address,Start Date,End Date,RA available
GEM/2025/B/6845686,"White Bed Sheet,Oxygen Concentrator,Patients Vitals Checking Multipara Monitor,Ice Box for MI Room ",25,Ministry of Defence Department of Military Affairs,2025-10-31T19:38:12Z,2025-10-31T19:38:12Z,No
GEM/2025/B/6845748,"Ice Box 150 Ltr for Carrying Frozen Item,Plastic Basket for Fresh Item,Iron Rack,Steel Box,Weighing",49,Ministry of Defence Department of Military Affairs,2025-10-31T20:11:47Z,2025-10-31T20:11:47Z,No
GEM/2025/B/6845801,Office Almirah,10,Ministry of Defence Department of Military Affairs,2025-10-31T20:44:44Z,2025-10-31T20:44:44Z,No
GEM/2025/B/6829709,Dry Chemical Powder (DCP) as per IS 4308,120,PMO Department of Atomic Energy,2025-11-01T09:08:25Z,2025-11-01T09:08:25Z,No
GEM/2025/B/6820066,TLD CARD as per Annexure,4000,PMO Department of Atomic Energy,2025-11-01T09:55:38Z,2025-11-01T09:55:38Z,No
GEM/2025/B/6815148,"50 mm heavy class semless GI Pipe,80 mm heavy class semless GI Pipe,20 mm NB Sch 80 Carbon Steel Pi",4081,PMO Department of Atomic Energy,2025-11-01T09:45:50Z,2025-11-01T09:45:50Z,No
GEM/2025/B/6766023,Custom Bid for Services - Providing Office Car at Indane Bottling Plant Cherlapalli,1,Ministry of Petroleum and Natural Gas INDIAN OIL CORPORATION LIMITED,2025-11-01T10:37:40Z,2025-11-01T10:37:40Z,No
GEM/2025/B/6849856,"Electric Two Wheeler - Motorcycle, Scooter and Moped",1,Ministry of Defence Department of Military Affairs,2025-11-03T12:47:29Z,2025-11-03T12:47:29Z,No
GEM/2025/B/6833083,Monthly Basis Cab & Taxi Hiring Services - SUV; 2000 KM per month and 12 hours per day per vehicle;,1,Ministry of Railways Indian Railways,2025-11-03T12:45:21Z,2025-11-03T12:45:21Z,No
GEM/2025/B/6843804,Monthly Basis Cab & Taxi Hiring Services - Sedan; 1500 km x 320 hours; Local,2,Ministry of Water Resources River Development and Ganga Rejuvenation NA,2025-11-03T13:20:34Z,2025-11-03T13:20:34Z,No
GEM/2025/B/6842648,Modular Piano Type Domestic Electrical Switches as per IS 3854,2500,Ministry of Railways Indian Railways,2025-11-03T13:04:33Z,2025-11-03T13:04:33Z,No
GEM/2025/B/6850542,End Point Protection Software / Appliances (V3),300,Information Technology Electronics and Communications Department Telangana,2025-11-03T13:40:41Z,2025-11-03T13:40:41Z,No
